# https://www.kokudo.or.jp/service/data/map/hokkaido.pdf
Sapporo,2160,2720,1958408
Ebetsu,2270,2700,119409
Otaru,1920,2640,113728
Tomakomai,2320,3130,170555
Obihiro,3490,2870,165384
Kushiro,4380,2800,166573
Asahikawa,2890,2050,332610
Hakodate,1710,4005,253340
Muroran,1890,3485,82167
Noboribetsu,1940,3430,47176
Rumoi,2385,1880,20452
Nayoro,2975,1430,26993
Wakkanai,2405,380,33208
Hurano,2920,2465,21230
Nemuro,5230,2490,25164
Abashiri,4275,1780,34283
Kitami,4005,2005,115761
Hokuto,1665,3950,45878
Chitose,2340,3005,97198
Eniwa,2310,2950,69900
Kitahiroshima,2320,2820,58147
Iwamizawa,2435,2615,79821
Takigawa,2550,2255,39414
Hukagawa,2630,2095,20058
Ishikari,2105,2665,58221
Shibetsu,2915,1590,18375
Date,1835,3350,33656
Monbetsu,3615,1460,1000
Nanae,1670,3895,1000
Yoichi,1750,2625,1000
Bibai,2475,2495,1000
Otohuke,3490,2795,1000
Makubetsu,3615,2885,1000
Ongaru,3745,1760,1000
